instance;fit;opts
exiobase/isic/isic_at_2022_n10;160635;3 5 8 6 7 4 2 0 9 1,3 5 8 6 7 4 2 9 0 1
exiobase/isic/isic_au_2022_n10;161511;8 6 2 3 7 5 4 0 9 1
exiobase/isic/isic_be_2022_n10;190993;8 3 7 6 2 5 4 0 9 1
exiobase/isic/isic_bg_2022_n10;203230;6 3 7 5 8 4 0 2 9 1
exiobase/isic/isic_br_2022_n10;105029;8 6 2 3 7 4 0 5 9 1
exiobase/isic/isic_ca_2022_n10;149053;8 2 3 7 6 4 5 0 9 1
exiobase/isic/isic_ch_2022_n10;207282;8 6 3 9 7 5 4 1 2 0
exiobase/isic/isic_cn_2022_n10;245224;8 3 6 7 0 2 4 5 9 1
exiobase/isic/isic_cy_2022_n10;206707;8 5 6 3 7 4 2 1 9 0
exiobase/isic/isic_cz_2022_n10;194766;8 7 3 6 5 2 4 9 0 1
exiobase/isic/isic_de_2022_n10;188276;8 7 6 3 5 9 4 0 2 1
exiobase/isic/isic_dk_2022_n10;190124;8 7 6 2 3 9 5 4 1 0
exiobase/isic/isic_ee_2022_n10;168680;8 7 6 3 5 2 4 0 9 1
exiobase/isic/isic_es_2022_n10;181722;8 7 6 3 4 2 5 0 9 1
exiobase/isic/isic_fi_2022_n10;200681;8 7 3 6 5 9 4 0 2 1
exiobase/isic/isic_fr_2022_n10;200533;8 7 6 3 5 4 2 0 9 1
exiobase/isic/isic_gb_2022_n10;141844;8 7 6 3 5 2 4 9 0 1
exiobase/isic/isic_gr_2022_n10;128649;8 7 6 3 5 0 9 2 4 1
exiobase/isic/isic_hr_2022_n10;206529;8 6 7 3 5 4 9 2 1 0
exiobase/isic/isic_hu_2022_n10;201754;3 8 7 6 5 9 2 4 0 1
exiobase/isic/isic_id_2022_n10;155995;0 2 3 6 7 8 4 5 1 9
exiobase/isic/isic_ie_2022_n10;105228;3 8 7 6 4 2 5 0 1 9,3 8 7 6 4 2 5 0 9 1
exiobase/isic/isic_in_2022_n10;124877;8 0 6 3 7 5 2 4 9 1
exiobase/isic/isic_it_2022_n10;191224;8 3 7 6 5 4 9 2 1 0
exiobase/isic/isic_jp_2022_n10;211904;3 8 6 7 2 5 4 0 9 1
exiobase/isic/isic_kr_2022_n10;280581;3 8 7 6 4 0 5 9 1 2
exiobase/isic/isic_lt_2022_n10;220187;8 6 3 5 7 2 4 0 1 9
exiobase/isic/isic_lu_2022_n10;154373;8 6 3 5 7 4 0 9 2 1
exiobase/isic/isic_lv_2022_n10;146375;8 7 4 6 3 2 5 9 0 1
exiobase/isic/isic_mt_2022_n10;105718;6 7 8 5 4 3 2 1 0 9
exiobase/isic/isic_mx_2022_n10;152473;6 8 2 3 7 4 0 5 9 1
exiobase/isic/isic_nl_2022_n10;162918;8 6 3 7 5 2 9 4 0 1
exiobase/isic/isic_no_2022_n10;157012;8 6 4 2 3 7 9 5 1 0
exiobase/isic/isic_pl_2022_n10;157014;8 3 7 6 5 2 4 9 0 1
exiobase/isic/isic_pt_2022_n10;155625;8 3 6 4 5 7 2 9 0 1
exiobase/isic/isic_ro_2022_n10;181300;8 6 3 7 4 5 9 2 0 1
exiobase/isic/isic_ru_2022_n10;203545;8 2 3 7 6 5 4 0 9 1
exiobase/isic/isic_se_2022_n10;144964;8 7 3 6 5 4 9 2 0 1
exiobase/isic/isic_si_2022_n10;190673;8 7 3 6 5 4 9 2 0 1
exiobase/isic/isic_sk_2022_n10;159935;3 8 7 6 5 4 2 9 0 1
exiobase/isic/isic_tr_2022_n10;229523;8 6 3 7 2 9 5 4 0 1
exiobase/isic/isic_tw_2022_n10;272142;3 8 0 6 7 9 4 2 5 1
exiobase/isic/isic_us_2022_n10;257520;8 7 6 2 3 5 9 4 0 1
exiobase/isic/isic_wa_2022_n10;115918;6 8 3 7 5 2 4 0 9 1
exiobase/isic/isic_we_2022_n10;159176;3 8 7 0 6 5 2 4 9 1
exiobase/isic/isic_wf_2022_n10;135230;0 2 3 7 1 8 6 5 4 9
exiobase/isic/isic_wl_2022_n10;120746;3 7 8 0 6 5 2 4 1 9
exiobase/isic/isic_wm_2022_n10;103656;3 8 7 6 5 2 4 0 9 1
exiobase/isic/isic_za_2022_n10;201703;3 8 6 7 2 4 0 9 5 1
